,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Yield
0,0,-1.7124803127641026,4,2,-0.14480228274277063,-0.06226657801199447,0.7511974591383891,-0.0901279452635981
1,1,-1.7124803127641026,1,2,-0.2364726938878747,-0.06246434637721084,0.7511974591383891,-0.0902254674602154
2,8,-1.7124803127641026,1,2,-0.2444433813478469,-0.06248204262195033,0.7511974591383891,-0.0907502597367885
3,9,-1.7124803127641026,4,2,-0.21870683529493204,-0.050470379116900166,0.7511974591383891,-0.06608245100104676
4,11,-1.7124803127641026,1,2,-0.24315655404520117,-0.06247913823291038,0.7511974591383891,-0.09055511678658254
5,13,-1.7124803127641026,4,2,-0.22698865385246864,-0.06244766514801281,0.7511974591383891,-0.0903015230726677
6,16,-1.7124803127641026,2,2,-0.24146443754967548,-0.062476427723243515,0.7511974591383891,-0.09050439804448272
7,21,-1.7124803127641026,1,2,-0.11654666648764574,-0.059045188593936905,0.7511974591383891,-0.07974009870753376
8,23,-1.7124803127641026,2,2,-0.2317497784112502,-0.06246254824106438,0.7511974591383891,-0.09050905588809847
9,24,-1.7124803127641026,1,2,-0.21930726372882825,-0.06242619395783266,0.7511974591383891,-0.09033338542422174
10,26,-1.7124803127641026,1,2,-0.23745794236349532,-0.062371900130256,0.7511974591383891,-0.08583222668894587
11,29,-1.7124803127641026,4,2,-0.23200086666542497,-0.06246285996868386,0.7511974591383891,-0.09048515780082902
12,31,-1.7124803127641026,4,2,-0.23484198484581567,-0.062413945343321245,0.7511974591383891,-0.08836710032458141
13,32,-1.7124803127641026,2,2,-0.09774643345630914,-0.06226063237788651,0.7511974591383891,-0.0904413033882281
14,37,-1.7124803127641026,4,2,-0.1428304211814524,-0.05992800121227894,0.7511974591383891,-0.08242517684859167
15,39,-1.7124803127641026,2,2,0.13559506666660603,-0.061893782191557764,0.7511974591383891,-0.09040269053825119
16,40,-1.7124803127641026,0,2,0.5832772361997753,-0.06096795496328506,0.7511974591383891,-0.09014527154295938
17,40,-1.7124803127641026,3,2,-0.006758327349723476,-0.06168526302502597,0.7511974591383891,-0.08982696305312289
18,40,-1.7124803127641026,5,2,0.850129193062468,-0.05621986812419899,0.7511974591383891,-0.08996260306274102
19,43,-1.7124803127641026,4,2,-0.2240165331046824,-0.06245076721798218,0.7511974591383891,-0.09047942120122894
20,44,-1.7124803127641026,1,2,-0.23121485126105176,-0.062461662478438325,0.7511974591383891,-0.0904958069099941
21,46,-1.7124803127641026,1,2,-0.20279275257652837,-0.05758783916357171,0.7511974591383891,-0.06608245100104676
22,48,-1.7124803127641026,4,2,-0.23272956844656265,-0.06235815750410493,0.7511974591383891,-0.08711713308489397
23,49,-1.7124803127641026,4,2,-0.24216584712927242,-0.06243757201594335,0.7511974591383891,-0.08600379592763825
24,50,-1.7124803127641026,4,2,-0.2449387348058113,-0.06248204262195033,0.7511974591383891,-0.09060169522387869
25,51,-1.7124803127641026,4,2,-0.23178662288333018,-0.062455644614760004,0.7511974591383891,-0.09027150585800205
26,53,-1.7124803127641026,2,2,-0.1299498666643016,-0.06206378018774687,0.7511974591383891,-0.08960028346837073
27,0,-1.7124803127641026,4,12,-0.11848441279703806,-0.06197524954381709,-0.20939835088606001,-0.0895615173934493
28,1,-1.7124803127641026,1,12,0.330076565625743,-0.06210780601166266,-0.20939835088606001,-0.09072894873215982
29,2,-1.7124803127641026,1,12,0.16542134912040035,-0.06198013834526392,-0.20939835088606001,-0.09057374816104556
30,2,-1.7124803127641026,3,12,-0.24441063070599803,-0.0624796400383466,-0.20939835088606001,-0.09011210409516504
31,5,-1.7124803127641026,1,12,-0.24030997742450233,-0.06247864403058683,-0.20939835088606001,-0.09053622664271348
32,6,-1.7124803127641026,4,12,-0.21655893903367604,-0.062477541579249674,-0.20939835088606001,-0.0907502597367885
33,10,-1.7124803127641026,4,12,-0.22189865826512123,-0.06247131082841659,-0.20939835088606001,-0.0907502597367885
34,13,-1.7124803127641026,1,12,0.0090779725942891,-0.06195295721746858,-0.20939835088606001,-0.089806584050107
35,13,-1.7124803127641026,2,12,-0.23930016596749507,-0.062452143381375454,-0.20939835088606001,-0.08890583758086891
36,14,-1.7124803127641026,4,12,-0.23862331936928477,-0.06246771455612367,-0.20939835088606001,-0.08922970147946026
37,15,-1.7124803127641026,1,12,-0.24059108710037191,-0.06246411828383074,-0.20939835088606001,-0.08959711378481125
38,17,-1.7124803127641026,1,12,0.850129193062468,-0.06048420311809834,-0.20939835088606001,-0.09022663225216264
39,17,-1.7124803127641026,2,12,0.01704320161395316,-0.06179380506150326,-0.20939835088606001,-0.08974396192899248
40,19,-1.7124803127641026,1,12,-0.0014390772694338567,-0.06217756076885381,-0.20939835088606001,-0.09052199434246018
41,19,-1.7124803127641026,2,12,-0.022862090868835273,-0.062168254558945694,-0.20939835088606001,-0.09044832125919787
42,20,-1.7124803127641026,1,12,0.28624528995131954,-0.06052020005503458,-0.20939835088606001,-0.0896361759746946
43,20,-1.7124803127641026,2,12,0.850129193062468,-0.05973449439171411,-0.20939835088606001,-0.09045286602661883
44,20,-1.7124803127641026,3,12,-0.23715499892639313,-0.06242462011350996,-0.20939835088606001,-0.08822101954504082
45,24,-1.7124803127641026,1,12,0.4405922419347259,-0.05719369000120123,-0.20939835088606001,-0.08797409632352693
46,24,-1.7124803127641026,2,12,-0.17887659636638062,-0.062106061097304884,-0.20939835088606001,-0.08877996079145586
47,24,-1.7124803127641026,3,12,-0.23225195491959974,-0.06240273075213296,-0.20939835088606001,-0.08856850947308148
48,38,-1.7124803127641026,1,12,0.850129193062468,-0.057865995239048264,-0.20939835088606001,-0.08967792405581713
49,38,-1.7124803127641026,2,12,-0.2085432194411616,-0.062354059426375785,-0.20939835088606001,-0.08954028189857424
50,38,-1.7124803127641026,3,12,-0.22707871811755306,-0.06238698470579333,-0.20939835088606001,-0.0889305069005489
51,40,-1.7124803127641026,1,12,0.850129193062468,-0.05358464067743706,-0.20939835088606001,-0.08849132974231887
52,40,-1.7124803127641026,2,12,-0.17199213852772977,-0.06206645648340672,-0.20939835088606001,-0.08867310906014822
53,40,-1.7124803127641026,3,12,0.1202459325200956,-0.059582485360102286,-0.20939835088606001,-0.0878127969214152
54,46,-1.7124803127641026,4,12,0.17593976359420033,-0.050470379116900166,-0.20939835088606001,-0.06608245100104676
55,51,-1.7124803127641026,4,12,-0.23960447401467427,-0.06239050874851589,-0.20939835088606001,-0.08596430948540877
56,53,-1.7124803127641026,2,12,0.09657540612381452,-0.06203162662426533,-0.20939835088606001,-0.09041003358084705
